prop	a	b	label
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29	https://cso.kmi.open.ac.uk/topics/computer_aided_design	computer aided design (cad)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29	https://cso.kmi.open.ac.uk/topics/computer-aided_design	computer aided design (cad)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29	https://cso.kmi.open.ac.uk/topics/cad	computer aided design (cad)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/medical_informatics	https://cso.kmi.open.ac.uk/topics/bioinformatics	medical informatics
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/sensors	https://cso.kmi.open.ac.uk/topics/sensor	sensors
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/nonrigid_registration	https://cso.kmi.open.ac.uk/topics/non-rigid_registration	nonrigid registration
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/non-rigid_registration	https://cso.kmi.open.ac.uk/topics/nonrigid_registration	non-rigid registration
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/locality_preserving_projections	https://cso.kmi.open.ac.uk/topics/locality_preserving_projection	locality preserving projections
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/locality_preserving_projection	https://cso.kmi.open.ac.uk/topics/locality_preserving_projections	locality preserving projection
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/small_sample_size_problems	https://cso.kmi.open.ac.uk/topics/small_sample_size_problem	small sample size problems
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/small_sample_size_problem	https://cso.kmi.open.ac.uk/topics/small_sample_size_problems	small sample size problem
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/random_projections	https://cso.kmi.open.ac.uk/topics/random_projection	random projections
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/random_projection	https://cso.kmi.open.ac.uk/topics/random_projections	random projection
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/high_dimensional_data	https://cso.kmi.open.ac.uk/topics/high-dimensional_data	high dimensional data
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/high-dimensional_data	https://cso.kmi.open.ac.uk/topics/high_dimensional_data	high-dimensional data
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/human-action_recognition	https://cso.kmi.open.ac.uk/topics/human_action_recognition	human-action recognition
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/human_action_recognition	https://cso.kmi.open.ac.uk/topics/human-action_recognition	human action recognition
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine	https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine	https://cso.kmi.open.ac.uk/topics/support_vector_machines	support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	https://cso.kmi.open.ac.uk/topics/support_vector_machine	support vector machines (svms)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	support vector machines (svms)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	support vector machines (svms)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	https://cso.kmi.open.ac.uk/topics/support_vector_machines	support vector machines (svms)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	https://cso.kmi.open.ac.uk/topics/support_vector_machine	support vector machine (svms)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	support vector machine (svms)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	support vector machine (svms)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	https://cso.kmi.open.ac.uk/topics/support_vector_machines	support vector machine (svms)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	https://cso.kmi.open.ac.uk/topics/support_vector_machine	support vector machine (svm)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	support vector machine (svm)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	support vector machine (svm)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	https://cso.kmi.open.ac.uk/topics/support_vector_machines	support vector machine (svm)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machines	https://cso.kmi.open.ac.uk/topics/support_vector_machine	support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machines	https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machines	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector_machines	https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/multi-class_classification	https://cso.kmi.open.ac.uk/topics/multiclass_classification	multi-class classification
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/multiclass_classification	https://cso.kmi.open.ac.uk/topics/multi-class_classification	multiclass classification
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/kernel_function	https://cso.kmi.open.ac.uk/topics/kernel_functions	kernel function
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/kernel_functions	https://cso.kmi.open.ac.uk/topics/kernel_function	kernel functions
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vector	https://cso.kmi.open.ac.uk/topics/support_vectors	support vector
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/support_vectors	https://cso.kmi.open.ac.uk/topics/support_vector	support vectors
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	least squares support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	least squares support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	least squares support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	https://cso.kmi.open.ac.uk/topics/ls-svm	least squares support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	least squares support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	least squares support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	least squares support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	https://cso.kmi.open.ac.uk/topics/ls-svm	least squares support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/kernel_methods	https://cso.kmi.open.ac.uk/topics/kernel_method	kernel methods
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/kernel_method	https://cso.kmi.open.ac.uk/topics/kernel_methods	kernel method
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/binary_classifiers	https://cso.kmi.open.ac.uk/topics/binary_classification	binary classifiers
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/binary_classification	https://cso.kmi.open.ac.uk/topics/binary_classifiers	binary classification
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/cross_validation	https://cso.kmi.open.ac.uk/topics/cross-validation	cross validation
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/cross-validation	https://cso.kmi.open.ac.uk/topics/cross_validation	cross-validation
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm	https://cso.kmi.open.ac.uk/topics/svm_classification	svm
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm	https://cso.kmi.open.ac.uk/topics/svm_classifiers	svm
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm	https://cso.kmi.open.ac.uk/topics/svm_classifier	svm
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm_classification	https://cso.kmi.open.ac.uk/topics/svm	svm classification
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm_classification	https://cso.kmi.open.ac.uk/topics/svm_classifiers	svm classification
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm_classification	https://cso.kmi.open.ac.uk/topics/svm_classifier	svm classification
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm_classifiers	https://cso.kmi.open.ac.uk/topics/svm	svm classifiers
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm_classifiers	https://cso.kmi.open.ac.uk/topics/svm_classification	svm classifiers
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm_classifiers	https://cso.kmi.open.ac.uk/topics/svm_classifier	svm classifiers
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm_classifier	https://cso.kmi.open.ac.uk/topics/svm	svm classifier
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm_classifier	https://cso.kmi.open.ac.uk/topics/svm_classification	svm classifier
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/svm_classifier	https://cso.kmi.open.ac.uk/topics/svm_classifiers	svm classifier
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	least square support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	least square support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	least square support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	https://cso.kmi.open.ac.uk/topics/ls-svm	least square support vector machines
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	least square support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	least square support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	least square support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	https://cso.kmi.open.ac.uk/topics/ls-svm	least square support vector machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients_%28hog%29	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients	histogram of oriented gradients (hog)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients_%28hog%29	https://cso.kmi.open.ac.uk/topics/histograms_of_oriented_gradients	histogram of oriented gradients (hog)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients_%28hog%29	histogram of oriented gradients
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients	https://cso.kmi.open.ac.uk/topics/histograms_of_oriented_gradients	histogram of oriented gradients
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/gaussian_kernels	https://cso.kmi.open.ac.uk/topics/gaussian_kernel	gaussian kernels
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/gaussian_kernel	https://cso.kmi.open.ac.uk/topics/gaussian_kernels	gaussian kernel
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/histograms_of_oriented_gradients	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients_%28hog%29	histograms of oriented gradients
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/histograms_of_oriented_gradients	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients	histograms of oriented gradients
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/ls-svm	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	ls-svm
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/ls-svm	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	ls-svm
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/ls-svm	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines	ls-svm
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/ls-svm	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	ls-svm
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/extreme_learning_machine	https://cso.kmi.open.ac.uk/topics/extreme_learning_machine_%28elm%29	extreme learning machine
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/extreme_learning_machine_%28elm%29	https://cso.kmi.open.ac.uk/topics/extreme_learning_machine	extreme learning machine (elm)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/feedforward_neural_networks	https://cso.kmi.open.ac.uk/topics/feedforward_neural_network	feedforward neural networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/feedforward_neural_network	https://cso.kmi.open.ac.uk/topics/feedforward_neural_networks	feedforward neural network
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/natural_language_processing_systems	https://cso.kmi.open.ac.uk/topics/natural_language_processing	natural language processing systems
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/natural_language_processing_systems	https://cso.kmi.open.ac.uk/topics/nlp	natural language processing systems
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/decision_support_systems	https://cso.kmi.open.ac.uk/topics/decision_support_system_%28dss%29	decision support systems
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/decision_support_systems	https://cso.kmi.open.ac.uk/topics/decision_support_system	decision support systems
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/decision_support_system_%28dss%29	https://cso.kmi.open.ac.uk/topics/decision_support_systems	decision support system (dss)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/decision_support_system_%28dss%29	https://cso.kmi.open.ac.uk/topics/decision_support_system	decision support system (dss)
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_network	bayesian networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_approaches	bayesian networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_approach	bayesian networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian	bayesian networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_model	bayesian networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_models	bayesian networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_method	bayesian networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_frameworks	bayesian networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_framework	bayesian networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_methods	bayesian networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_networks	bayesian network
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_approaches	bayesian network
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_approach	bayesian network
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian	bayesian network
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_model	bayesian network
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_models	bayesian network
